approved_symbol,hgnc_id,gene_name_reported,source_name,source_evidence_score,source_details
SDHD,,SDHD,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hereditary paraganglioma pheochromocytoma syndrome;168000;child and adult onset|PMIDs:23788249"
SMAD3,,SMAD3,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;610168;child and adult onset|PMIDs:23788249"
STK11,,STK11,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Peutz-Jeghers Syndrome;175200;child and adult onset|PMIDs:23788249"
TGFBR1,,TGFBR1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;609192;child and adult onset|PMIDs:23788249"
TGFBR2,,TGFBR2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Marfan syndrome;Loeys Dietz syndromes;familial thoracic aortic aneurysms and dissections;608967;child and adult onset|PMIDs:23788249"
TMEM43,,TMEM43,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Arrhythmogenic right-ventricular cardiomyopathy;607450;child and adult onset|PMIDs:23788249"
TNNI3,,TNNI3,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;613690;child and adult onset|PMIDs:23788249"
TNNT2,,TNNT2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;601494;child and adult onset|PMIDs:23788249"
TP53,,TP53,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Li Fraumeni syndrome;151623;child and adult onset|PMIDs:23788249"
TPM1,,TPM1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Hypertrophic cardiomyopathy, dilated cardiomyopathy;115196;child and adult onset|PMIDs:23788249"
TSC1,,TSC1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Tuberous sclerosis complex;191100;child onset|PMIDs:23788249"
TSC2,,TSC2,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Tuberous sclerosis complex;613254;child onset|PMIDs:23788249"
VHL,,VHL,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Other cancer predisposition;Von Hippel Lindau Syndrome;Adult and child;Von Hippel Lindau syndrome;193300;child and adult onset"
WT1,,WT1,PanelApp_UK:Adult_solid_tumours,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:WT1-related Wilms tumor;194070;child onset|PMIDs:23788249"
BMP4,,BMP4,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Stickler syndrome, MONDO:0019354|PMIDs:30568244;35022715;34926457"
COL11A1,,COL11A1,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal|Phenotypes:Stickler syndrome, type II, OMIM:604841;Marshall syndrome, OMIM:154780|PMIDs:10573014;23922384;20513134;8872475"
COL11A2,,COL11A2,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BOTH monoallelic and biallelic, autosomal or pseudoautosomal|Phenotypes:Otospondylomegaepiphyseal dysplasia, autosomal dominant, OMIM:184840;Otospondylomegaepiphyseal dysplasia, autosomal recessive, OMIM:215150"
COL2A1,,COL2A1,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Stickler syndrome, type I, OMIM:108300|PMIDs:16752401;20513134"
COL9A1,,COL9A1,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Stickler syndrome, type IV, OMIM:614134"
COL9A2,,COL9A2,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Stickler syndrome, type V, OMIM:614284|PMIDs:21671392"
COL9A3,,COL9A3,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Stickler syndrome, MONDO:0019354|PMIDs:24273071 and unpublished observation;30450842;33633367"
GZF1,,GZF1,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Larsen syndrome, MONDO:0007875|PMIDs:28475863"
LOXL3,,LOXL3,PanelApp_UK:Haematological_malignancies,0.5,"Confidence:2|MOI:BIALLELIC, autosomal or pseudoautosomal|Phenotypes:Stickler syndrome, MONDO:0019354|PMIDs:25663169;30362103"
LRP2,,LRP2,PanelApp_UK:Haematological_malignancies,0.1,"Confidence:1|MOI:MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted|Phenotypes:Stickler syndrome, MONDO:0019354|PMIDs:23992033"
VCAN,,VCAN,PanelApp_UK:Haematological_malignancies,1.0,"Confidence:3|MOI:MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown|Phenotypes:Ocular-only Stickler syndrome;Wagner syndrome 1, OMIM:143200|PMIDs:12208278;10729292;11812423"
